"F_Class","B_Genus","Plant_Part","Group"
"Agarico","Pleurocapsa","Fruit","Sonneratia"
"Entorrhizo","Marinomonas","Sediment","Sonneratia"
"Eurotio","Halomonas","Leaf","Sonneratia"
"Eurotio","Tunicatimonas","Sediment","Sonneratia"
"Entorrhizo","Halomonas","Pneumatophore","Sonneratia"
"Sordario","Tunicatimonas","Sediment","Avicennia"
"Agarico","Halomonas","Sediment","Avicennia"
"Sordario","Pleurocapsa","Pneumatophore","Sonneratia"
"Eurotio","Halomonas","Leaf","Sonneratia"
"Agarico","Halomonas","Fruit","Avicennia"
"Agarico","Halomonas","Fruit","Avicennia"
"Entorrhizo","Tunicatimonas","Leaf","Avicennia"
"Entorrhizo","Pleurocapsa","Pneumatophore","Avicennia"
"Sordario","Pleurocapsa","Pneumatophore","Avicennia"
"Entorrhizo","Pleurocapsa","Fruit","Sonneratia"
"Eurotio","Marinomonas","Leaf","Avicennia"
